City,Year,Lat,Long,Avg_Temp_Celsius
Abilene,2013,32.95,-100.53,19.41111111
Akron,2013,40.99,-80.95,11.87066667
Albuquerque,2013,34.56,-107.03,13.63077778
Alexandria,2013,39.38,-76.99,14.18766667
Allentown,2013,40.99,-74.56,12.16388889
Amarillo,2013,34.56,-101.19,17.52955556
Anaheim,2013,32.95,-117.77,17.18077778
Anchorage,2013,61.88,-151.13,1.01875
Ann Arbor,2013,42.59,-82.91,10.89722222
Antioch,2013,37.78,-122.03,16.23366667
Arlington,2013,32.95,-96.7,20.45077778
Arlington,2013,39.38,-76.99,14.18766667
Arvada,2013,39.38,-106.13,4.473111111
Atlanta,2013,34.56,-83.68,16.13677778
Aurora,2013,39.38,-104.05,11.20577778
Aurora,2013,40.99,-87.34,12.15344444
Austin,2013,29.74,-97.85,22.18266667
Bakersfield,2013,36.17,-119.34,18.67566667
Baltimore,2013,39.38,-76.99,14.18766667
Baton Rouge,2013,29.74,-90.46,21.99522222
Beaumont,2013,29.74,-94.15,21.82055556
Bellevue,2013,47.42,-121.97,9.946444444
Berkeley,2013,37.78,-122.03,16.23366667
Birmingham,2013,32.95,-87.13,18.98388889
Boston,2013,42.59,-72,10.37566667
Bridgeport,2013,40.99,-72.43,12.32911111
Brownsville,2013,26.52,-96.72,23.76422222
Buffalo,2013,42.59,-78.55,10.27944444
Burbank,2013,34.56,-118.7,18.12066667
Cambridge,2013,42.59,-72,10.37566667
Cape Coral,2013,26.52,-82.39,23.97433333
Carrollton,2013,32.95,-96.7,20.45077778
Cary,2013,36.17,-79.56,16.23144444
Cedar Rapids,2013,42.59,-91.64,10.42022222
Chandler,2013,32.95,-112.02,23.56455556
Charleston,2013,32.95,-79.47,20.21411111
Charlotte,2013,34.56,-81.73,17.705
Chattanooga,2013,34.56,-85.62,16.90533333
Chesapeake,2013,36.17,-75.58,17.288
Chicago,2013,42.59,-87.27,11.58688889
Chula Vista,2013,32.95,-117.77,17.18077778
Cincinnati,2013,39.38,-85.32,13.39833333
Clarksville,2013,36.17,-87.51,16.17244444
Clearwater,2013,28.13,-82.73,23.54666667
Cleveland,2013,40.99,-80.95,11.87066667
Colorado Springs,2013,39.38,-104.05,11.20577778
