Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
10504,AMALGAMATED SUGAR TWIN FALLS,CONVENTIONAL STEAM COAL,71349,1281711,0,2320 ORCHARD DRIVE EAST,TWIN FALLS,ID,83301,USA,42.53254853,-114.4320222,COAL,COAL/GAS,FOSSIL
56566,CASTLE CREEK HYDROPLANT,CONVENTIONAL HYDROELECTRIC,0,0,0,1080 POWER PLANT ROAD,ASPEN,CO,81611,USA,39.19500756,-106.8350436,HYDRO,HYDRO,HYDRO
7458,RUEDI,CONVENTIONAL HYDROELECTRIC,0,0,0,14151 FRYING PAN ROAD,ASPEN,CO,81611,USA,39.36311277,-106.8219412,HYDRO,HYDRO,HYDRO
6204,LARAMIE RIVER STATION,CONVENTIONAL STEAM COAL,6043605,0,37956,HWY 320,WHEATLAND,WY,82201,USA,42.10905994,-104.8838832,COAL,COAL/PET,FOSSIL
8028,ARVADA,NATURAL GAS FIRED COMBUSTION TURBINE,0,2492,0,HWY 14,ARVADA,WY,82831,USA,44.69377572,-105.9777173,GAS,GAS,FOSSIL
8026,HARTZOG,NATURAL GAS FIRED COMBUSTION TURBINE,0,6018,0,HWY 50,WRIGHT,WY,82732,USA,43.77335372,-105.7808059,GAS,GAS,FOSSIL
8030,BARBER CREEK,NATURAL GAS FIRED COMBUSTION TURBINE,0,2024,0,INTERSTATE 90,GILLETTE,WY,82718,USA,44.16833378,-105.8914217,GAS,GAS,FOSSIL
56606,CULBERTSON GENERATION STATION,NATURAL GAS FIRED COMBUSTION TURBINE,0,1033610,0,HWY 16,CULBERTSON,MT,59218,USA,48.21018107,-104.3918006,GAS,GAS,FOSSIL
55866,BASIN CREEK PLANT,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,845257,0,500 NILS DRIVE,BUTTE,MT,59701,USA,45.92976486,-112.5248604,GAS,GAS,FOSSIL
56609,DRY FORK STATION,CONVENTIONAL STEAM COAL,1837949,0,10032,INTERSTATE 90,GILLETTE,WY,82732,USA,44.38917408,-105.4603107,COAL,COAL/PET,FOSSIL
55200,ARAPAHOE COMBUSTION TURBINE PROJECT,NATURAL GAS FIRED COMBINED CYCLE,0,533819,0,2601 SOUTH PLATTE RIVER  ROAD,DENVER,CO,80223,USA,39.66901671,-105.0017921,GAS,GAS,FOSSIL
55207,VALMONT COMBUSTION TURBINE PROJECT,NATURAL GAS FIRED COMBUSTION TURBINE,0,0,0,1800 N 63RD,BOULDER,CO,80302,USA,40.0200914,-105.2009528,GAS,GAS,FOSSIL
3643,UPPER BEAVER,CONVENTIONAL HYDROELECTRIC,0,0,0,"HWY 153, 10 MI E OF BEAVER",BEAVER,UT,84713,USA,38.26827863,-112.4816131,HYDRO,HYDRO,HYDRO
10869,BIOMASS ONE LP,WOOD/WOOD WASTE BIOMASS,0,0,0,2350 AVENUE G,WHITE CITY,OR,97503,USA,42.43594028,-122.8500475,MSW,MSW,MSW
10140,BIRCH CREEK POWER,CONVENTIONAL HYDROELECTRIC,0,0,0,HIGHWAY 22,TERITON,ID,83450,USA,44.0275024,-112.719475,HYDRO,HYDRO,HYDRO
54860,BLACK CREEK,CONVENTIONAL HYDROELECTRIC,0,0,0,MILE 1 ROAD 32950,BELLEVUE,WA,98045,USA,47.53441205,-121.7026244,HYDRO,HYDRO,HYDRO
54514,BLIND CANYON HYDRO,CONVENTIONAL HYDROELECTRIC,0,0,0,1424 BOB BARTON ROAD,WENDELL,ID,83355,USA,42.69984,-114.8226,HYDRO,HYDRO,HYDRO
56498,MORA DROP HYDROELECTRIC PROJECT,CONVENTIONAL HYDROELECTRIC,0,0,0,3100 SOUTH MCDERMETT ROAD,KUNA,ID,83634,USA,43.45987973,-116.4726004,HYDRO,HYDRO,HYDRO
10014,LUCKY PEAK POWER PLANT PROJECT,CONVENTIONAL HYDROELECTRIC,0,0,0,9731 E HIGHWAY 21,BOISE,ID,83716,USA,43.52833293,-116.0587111,HYDRO,HYDRO,HYDRO
6506,MOYIE SPRINGS,CONVENTIONAL HYDROELECTRIC,0,0,0,OLD HIGHWAY 2,MOYIE SPRINGS,ID,83845,USA,48.73134859,-116.1766383,HYDRO,HYDRO,HYDRO
466,BOULDER CANYON HYDRO,CONVENTIONAL HYDROELECTRIC,0,0,0,37788 BOULDER CANYON DRIVE,BOULDER,CO,80306,USA,40.00588125,-105.3332833,HYDRO,HYDRO,HYDRO
54679,BOULDER CITY LAKEWOOD HYDRO,CONVENTIONAL HYDROELECTRIC,0,0,0,1094 BETASSO DRIVE,BOULDER,CO,80306,USA,40.01182197,-105.3347178,HYDRO,HYDRO,HYDRO
54680,BOULDER CITY BETASSO HYDRO PLANT,CONVENTIONAL HYDROELECTRIC,0,0,0,1094 BETASSO DRIVE,BOULDER,CO,80306,USA,40.0117259,-105.3350213,HYDRO,HYDRO,HYDRO
55931,BOULDER CITY SILVER LAKE HYDRO,CONVENTIONAL HYDROELECTRIC,0,0,0,35461 HIGHWAY 72,BOULDER,CO,80306,USA,39.99114766,-105.500023,HYDRO,HYDRO,HYDRO
3665,BOUNTIFUL CITY,NATURAL GAS FIRED COMBUSTION TURBINE; NATURAL GAS INTERNAL COMBUSTION ENGINE; PETROLEUM LIQUIDS,0,160535,0,253 SOUTH 200 W,BOUNTIFUL,UT,84010,USA,40.88668834,-111.8853195,GAS/PET,GAS,FOSSIL
4264,JOES VALLEY DAM,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,SANPETE,UT,84010,USA,39.28810872,-111.2678275,HYDRO,HYDRO,HYDRO
4263,ECHO DAM,CONVENTIONAL HYDROELECTRIC,0,0,0,3705 NORTH ECHO DAM ROAD,ECHO,UT,84024,USA,40.96488657,-111.4341057,HYDRO,HYDRO,HYDRO
7132,PINE VIEW DAM,CONVENTIONAL HYDROELECTRIC,0,0,0,902 OGDEN CANYON,OGDEN,UT,84401,USA,41.25458222,-111.8452805,HYDRO,HYDRO,HYDRO
56997,ARROWROCK HYDROELECTRIC PROJECT,CONVENTIONAL HYDROELECTRIC,0,0,0,HWY 21 & ARROWROCK RD,BOISE,ID,83716,USA,43.59488034,-115.9234386,HYDRO,HYDRO,HYDRO
3666,BRIGHAM CITY,CONVENTIONAL HYDROELECTRIC,0,0,0,450 SOUTH 1500 EAST,BRIGHAM,UT,84302,USA,41.50161621,-111.9934724,HYDRO,HYDRO,HYDRO
57496,TIETON DAM HYDRO ELECTRIC PROJECT,CONVENTIONAL HYDROELECTRIC,0,0,0,34582 HIGHWAY 12,RIMROCK,WA,98937,USA,46.65814034,-121.1284654,HYDRO,HYDRO,HYDRO
505,BOYSEN,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,THERMOPOLIS,WY,82649,USA,43.41791841,-108.1775731,HYDRO,HYDRO,HYDRO
512,BLUE MESA,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,GUNNISON,CO,81401,USA,38.45315,-107.3375122,HYDRO,HYDRO,HYDRO
514,MORROW POINT,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,MONTROSE,CO,81401,USA,38.45168252,-107.539308,HYDRO,HYDRO,HYDRO
513,ESTES,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,ESTES PARK,CO,80517,USA,40.37674566,-105.5097791,HYDRO,HYDRO,HYDRO
515,BIG THOMPSON,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,LOVELAND,CO,80538,USA,40.42093144,-105.2236921,HYDRO,HYDRO,HYDRO
516,GREEN MOUNTAIN,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,KREMMLING,CO,80459,USA,39.87879897,-106.3327207,HYDRO,HYDRO,HYDRO
517,MARYS LAKE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,ESTES PARK,CO,80517,USA,40.34417443,-105.5345106,HYDRO,HYDRO,HYDRO
518,FLATIRON,CONVENTIONAL HYDROELECTRIC; HYDROELECTRIC PUMPED STORAGE,0,0,0,NOT AVAILABLE,LOVELAND,CO,80539,USA,40.36494501,-105.2358744,HYDRO,HYDRO,HYDRO
519,POLE HILL,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,LOVELAND,CO,80537,USA,40.36503663,-105.3251428,HYDRO,HYDRO,HYDRO
520,LOWER MOLINA,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,MOLINA,CO,81401,USA,39.19723242,-108.0485546,HYDRO,HYDRO,HYDRO
521,UPPER MOLINA,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,MOLINA,CO,81401,USA,39.14380431,-108.0047629,HYDRO,HYDRO,HYDRO
674,PILOT BUTTE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,MORTON,WY,82644,USA,43.21905007,-108.7878005,HYDRO,HYDRO,HYDRO
850,PALISADES,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,PALISADES,ID,83428,USA,43.33486049,-111.205667,HYDRO,HYDRO,HYDRO
2203,HUNGRY HORSE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,COLUMBIA FALLS,MT,59919,USA,48.34160252,-114.0142463,HYDRO,HYDRO,HYDRO
2204,YELLOWTAIL,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,HARDIN,MT,59034,USA,45.30724939,-107.9581432,HYDRO,HYDRO,HYDRO
4176,FREMONT CANYON,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,ALCOVA,WY,82620,USA,42.4765769,-106.7958784,HYDRO,HYDRO,HYDRO
4177,GLENDO,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,GLENDO,WY,82213,USA,42.46731007,-104.9556965,HYDRO,HYDRO,HYDRO
4178,GUERNSEY,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,GUERNSEY,WY,82214,USA,42.29034977,-104.7623256,HYDRO,HYDRO,HYDRO
4180,KORTES,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,SINCLAIR,WY,82334,USA,42.17437855,-106.880279,HYDRO,HYDRO,HYDRO
4182,SEMINOE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,SINCLAIR,WY,82334,USA,42.15615378,-106.9084172,HYDRO,HYDRO,HYDRO
4183,SHOSHONE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,CODY,WY,82414,USA,44.50285865,-109.1815878,HYDRO,HYDRO,HYDRO
4185,FONTENELLE,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,LE BARGE,WY,83101,USA,42.02698704,-110.0639871,HYDRO,HYDRO,HYDRO
6159,CRYSTAL,CONVENTIONAL HYDROELECTRIC,0,0,0,NOT AVAILABLE,MONTROSE,CO,81401,USA,38.51058834,-107.6241817,HYDRO,HYDRO,HYDRO
6163,GRAND COULEE,CONVENTIONAL HYDROELECTRIC; HYDROELECTRIC PUMPED STORAGE,0,0,0,NOT AVAILABLE,GRAND COULEE,WA,99133,USA,47.95973258,-118.975205,HYDRO,HYDRO,HYDRO
